year,number_of_cinemas,screens,seats,multiplex,showing,entries,revenue,avg_rev_per_entry,frequentation_index,occupancy_rate
1960,NA,22,12385,NA,NA,4900387,1222982.4515936258,0.24956854460548233,21.40178013809609,NA
1961,NA,22,12943,NA,NA,4459774,1205938.9563645178,0.2704036025961221,19.477462211371744,NA
1962,NA,22,12363,NA,NA,4275863,1224877.2404288696,0.2864631632091275,18.674255691768828,NA
1963,NA,22,12416,NA,NA,4139221,1340486.0379567563,0.3238498350188976,18.077490162509662,NA
1964,NA,22,12396,NA,NA,3956576,1310423.091757539,0.3312012941891016,17.279812727375955,NA
1965,NA,22,12163,NA,NA,3779950,1390828.0573269285,0.36794879755735616,16.508422463980153,NA
1966,NA,22,12159,NA,NA,3365005,1426046.5243910805,0.4237873418883718,13.49261816548782,NA
1967,NA,20,11144,NA,NA,2911640,1383532.9145050666,0.47517306895944095,11.674766235224302,NA
1968,NA,19,13580,NA,NA,2827739,1413097.1999689005,0.49972688425943856,11.3383494522767,NA
1969,NA,19,10128,NA,NA,2568038,1477638.7781516167,0.5753959941993135,10.297029623570547,NA
1970,NA,18,9036,NA,NA,2542768,1564952.8856312227,0.615452485492669,10.19570482285201,NA
1971,NA,19,9211,NA,NA,2390625,1645501.6106238673,0.6883143992152124,9.434790673444258,NA
1972,NA,19,9012,NA,NA,2351205,1832095.701395061,0.7792156368309275,9.279216525116029,NA
1973,NA,28,9851,NA,NA,2197730,1964498.5875598553,0.8938762211735998,8.673515296940613,NA
1974,NA,25,8211,NA,NA,2313745,2568798.107193002,1.1102338880010554,9.131377671834054,NA
1975,NA,24,7791,NA,NA,2228278,2942723.9895298015,1.3206269547739562,8.794075395447226,NA
1976,NA,28,7892,NA,NA,2182153,3296563.951600486,1.5106933160051041,8.612039434218419,NA
1977,NA,27,7625,NA,NA,2059813,3444332.631559691,1.6721579248017615,8.129214946484387,NA
1978,NA,29,7464,NA,NA,2189706,4024933.0367691787,1.8381157273027424,8.804183151597028,NA
1979,NA,29,7504,NA,NA,2205116,4421329.294450703,2.0050325218495098,8.866142365466885,NA
1980,NA,28,6974,NA,NA,2193423,4801451.009746065,2.189021912210306,8.819128148219628,NA
1981,NA,30,6443,NA,NA,2299741,5973434.0818071915,2.59743774703638,9.2466024960597,NA
1982,NA,30,6388,NA,NA,2440119,7158425.780958204,2.9336379828025616,9.811022387339573,NA
1983,NA,34,6978,NA,NA,2361225,7500616.1989276735,3.1765783434139796,9.493812120042458,NA
1984,NA,36,7146,NA,NA,2301953,7625953.225592531,3.3128188219275247,9.255496317025315,NA
