GENESIS-Tabelle: 12411-0010
Bevölkerung: Bundesländer, Stichtag;
Fortschreibung des Bevölkerungsstandes;
Bevölkerungsstand (Anzahl);
;Stichtag
;31.12.2015
Baden-Württemberg;10879618
Bayern;12843514
Berlin;3520031
Brandenburg;2484826
Bremen;671489
Hamburg;1787408
Hessen;6176172
Mecklenburg-Vorpommern;1612362
Niedersachsen;7926599
Nordrhein-Westfalen;17865516
Rheinland-Pfalz;4052803
Saarland;995597
Sachsen;4084851
Sachsen-Anhalt;2245470
Schleswig-Holstein;2858714
Thüringen;2170714
__________
"Berlin: bis 1990 nur Berlin-West
Neue Länder ab 1991

Ab 2011: Ergebnisse auf Grundlage des Zensus 2011."
(C)opyright Statistisches Bundesamt (Destatis), 2019
Stand: 05.06.2019 / 13:39:40
