date,n
2015-01,25042
2015-02,26083
2015-03,32054
2015-04,27178
2015-05,25992
2015-06,35449
2015-07,37531
2015-08,36422
2015-09,43071
2015-10,54877
2015-11,57816
2015-12,48278
2016-01,52103
2016-02,67797
2016-03,59975
2016-04,60943
2016-05,55259
2016-06,74637
2016-07,74454
2016-08,91331
2016-09,76400
2016-10,32640
2016-11,26438
2016-12,20575
2017-01,17964
2017-02,16568
2017-03,20136
2017-04,14848
2017-05,16641
2017-06,15261
2017-07,16844
2017-08,18651
2017-09,17086
2017-10,17028
2017-11,18711
2017-12,14293
2018-01,15077
2018-02,12490
2018-03,12622
2018-04,13163
2018-05,12494
2018-06,13254
2018-07,15199
2018-08,15122
2018-09,12976
2018-10,14824
2018-11,14130
2018-12,10561
2019-01,17051
2019-02,14321
2019-03,12762
2019-04,12353
